search URL:,https://patents.google.com/?q=%28Visa%29&assignee=Visa+U.S.A.+Inc.
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2009106151-A1,Fraud prevention based on risk assessment rule ,"Mark Allen Nelsen, Nancy Therese Hilgers, Karl Newland, Frederick Liu, Roger Paul Morrison, Andrew Brendan Carpenter, Sivakumar Seshappan, Kato Craig M, Alan Scott","Mark Allen Nelsen, Nancy Therese Hilgers, Karl Newland, Frederick Liu, Roger Paul Morrison, Andrew Brendan Carpenter, Sivakumar Seshappan, Craig M. Kato, Alan Scott",2007-10-17,2007-10-17,2009-04-23,,https://patents.google.com/patent/US20090106151A1/en,https://patentimages.storage.googleapis.com/68/b6/c6/fd1933aeaf551e/US20090106151A1-20090423-D00000.png
US-8881971-B2,Transit agency as an issuer and/or program manager of prepaid products ,Visa U.S.A. Inc.,"Khalid El-Awady, Philip B. Dixon",2008-10-10,2009-10-09,2014-11-11,2014-11-11,https://patents.google.com/patent/US8881971B2/en,https://patentimages.storage.googleapis.com/d2/72/98/5a6d0758331681/US08881971-20141111-D00000.png
US-8396799-B2,Media device payments remote control personalization and protection ,Visa U.S.A. Inc.,Simon J. Hurry,2007-11-29,2008-05-29,2013-03-12,2013-03-12,https://patents.google.com/patent/US8396799B2/en,https://patentimages.storage.googleapis.com/a1/d9/c8/f1d7cdcd0093ef/US08396799-20130312-D00000.png
US-2010161404-A1,Promotional item identification in processing of an acquired transaction on an issued account ,"Mary Theresa Taylor, Cervenka Karen L, Shilpak Mahadkar, Barbara Elizabeth Patterson","Mary Theresa Taylor, Karen L. Cervenka, Shilpak Mahadkar, Barbara Elizabeth Patterson",2008-11-25,2009-11-23,2010-06-24,,https://patents.google.com/patent/US20100161404A1/en,https://patentimages.storage.googleapis.com/0b/a1/98/ef1ebef9e10ee8/US20100161404A1-20100624-D00000.png
US-8505826-B2,Anti-interrogation for portable device ,Visa U.S.A.,John Hachey,2007-04-16,2007-04-16,2013-08-13,2013-08-13,https://patents.google.com/patent/US8505826B2/en,https://patentimages.storage.googleapis.com/f9/21/a6/f9572637d6247f/US08505826-20130813-D00000.png
US-8346662-B2,Desktop alert with interactive bona fide dispute initiation through chat session facilitated by desktop application ,Visa U.S.A. Inc.,"Ayse Korgav, Raymond P. P. Chan, Jie Feng, Michele Ann Colgan",2008-05-16,2008-05-16,2013-01-01,2013-01-01,https://patents.google.com/patent/US8346662B2/en,https://patentimages.storage.googleapis.com/26/9b/38/22f2c5e49a71bd/US08346662-20130101-D00000.png
US-2011087547-A1,Systems and Methods for Advertising Services Based on a Local Profile ,Visa U.S.A.,"Leigh Amaro, Joe Cunningham, Jack Yang, Karteek Patel, Edward W. Fordyce, III, Robert Eng, Uzma Makhdumi, Charles Raymond Byce, Michelle Eng Winters",2009-10-09,2010-09-07,2011-04-14,,https://patents.google.com/patent/US20110087547A1/en,https://patentimages.storage.googleapis.com/33/0b/d5/2e344908023095/US20110087547A1-20110414-D00000.png
US-9262762-B2,System and method for processing fees for a card ,Visa U.S.A. Inc.,Justin T. Monk,2007-06-04,2008-10-09,2016-02-16,2016-02-16,https://patents.google.com/patent/US9262762B2/en,https://patentimages.storage.googleapis.com/6c/68/b3/d0d2971e5b5b73/US09262762-20160216-D00000.png
US-2010145778-A1,Consumer commercial behavior modification through multiple merchant incentive program ,"Fordyce Iii Edward W, Karteek Hasmukh Patel, Shepard David C","Edward W. Fordyce, III, Karteek Hasmukh Patel, David C. Shepard",2008-12-08,2009-12-07,2010-06-10,,https://patents.google.com/patent/US20100145778A1/en,https://patentimages.storage.googleapis.com/3c/c0/c5/15aca99b657752/US20100145778A1-20100610-D00000.png
US-8740068-B2,System and method for processing expiration dates for prepaid cards ,Visa International Service Association,Justin T. Monk,2008-07-24,2013-05-20,2014-06-03,2014-06-03,https://patents.google.com/patent/US8740068B2/en,https://patentimages.storage.googleapis.com/f8/e7/9e/e2193abe385b1f/US08740068-20140603-D00000.png
US-8788284-B2,Method and system using combined healthcare-payment device and web portal for receiving patient medical information ,Visa U.S.A. Inc.,Nigel Smith,2006-05-30,2007-04-27,2014-07-22,2014-07-22,https://patents.google.com/patent/US8788284B2/en,https://patentimages.storage.googleapis.com/67/9d/84/369f736f008ede/US08788284-20140722-D00000.png
US-8660855-B2,System and method using extended authorization hold period ,Visa U.S.A. Inc.,"Stacy Pourfallah, Janet Pruitt, Douglas Frantz, Roxanna Kayoumi",2006-06-08,2007-06-08,2014-02-25,2014-02-25,https://patents.google.com/patent/US8660855B2/en,https://patentimages.storage.googleapis.com/75/9a/57/15ac50d2a67d4c/US08660855-20140225-D00000.png
US-2015248627-A1,Wireless communication devices in incentive reservation and payment processing ,Visa U.S.A. Inc.,"Nicole Janine Granucci, James Stretch",2005-06-24,2015-05-15,2015-09-03,,https://patents.google.com/patent/US20150248627A1/en,https://patentimages.storage.googleapis.com/e6/24/63/7914ca71cce1d0/US20150248627A1-20150903-D00000.png
US-7806323-B2,System and method for providing activation and expiration data associated with newly issued financial presentation devices ,Visa U.S.A. Inc.,Alexei Fomitchev,2008-01-04,2008-01-04,2010-10-05,2010-10-05,https://patents.google.com/patent/US7806323B2/en,https://patentimages.storage.googleapis.com/40/f2/54/990c25de06accd/US07806323-20101005-D00000.png
US-8768802-B2,System and method of matching financial transaction records to merchant records of a merchant profile database ,Visa U.S.A. Inc.,"Traci Engle, Bryan Carroll",2009-12-03,2009-12-03,2014-07-01,2014-07-01,https://patents.google.com/patent/US8768802B2/en,https://patentimages.storage.googleapis.com/5b/a0/86/81b92313ee87df/US08768802-20140701-D00000.png
US-2011087519-A1,Systems and Methods for Panel Enhancement with Transaction Data ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Michelle Eng Winters, Charles Raymond Byce, Kevin Paul Siegel, Ryan Hagey, Leigh Amaro, Nurtekin Savas",2009-10-09,2010-08-03,2011-04-14,,https://patents.google.com/patent/US20110087519A1/en,https://patentimages.storage.googleapis.com/19/12/b5/38dc2a062bae21/US20110087519A1-20110414-D00000.png
US-2006290501-A1,Apparatus and method to electromagnetically shield portable consumer devices ,"Visa U.S.A., Inc.","Ayman Hammad, Phil Dixon",2005-06-24,2005-06-24,2006-12-28,,https://patents.google.com/patent/US20060290501A1/en,https://patentimages.storage.googleapis.com/2e/43/b4/43c73620556b1a/US20060290501A1-20061228-D00000.png
US-2009313134-A1,Recovery of transaction information ,"Patrick Faith, Krishna Prasad Koganti, Van Deloo Lori D, Taylor Montgomery Mason, Kim Steele, Kevin Weller, Ayman Hammad, Kevin Eric Wong","Patrick Faith, Krishna Prasad Koganti, Lori D. Van Deloo, Taylor Montgomery Mason, Kim Steele, Kevin Weller, Ayman Hammad, Kevin Eric Wong",2008-05-02,2009-04-30,2009-12-17,,https://patents.google.com/patent/US20090313134A1/en,https://patentimages.storage.googleapis.com/43/80/3c/40af8ba76353af/US20090313134A1-20091217-D00000.png
US-9836785-B2,Auctioning of announcements ,Visa U.S.A. Inc.,Mark Carlson,2009-04-22,2011-07-05,2017-12-05,2017-12-05,https://patents.google.com/patent/US9836785B2/en,https://patentimages.storage.googleapis.com/07/51/4e/8226ec8ed86c99/US09836785-20171205-D00000.png
AU-2008221588-B2,System and method for sensitive data field hashing ,Visa U.S.A. Inc.,John Sheets,2007-09-19,2008-09-19,2013-09-05,2013-09-05,https://patents.google.com/patent/AU2008221588B2/en,
US-2011313900-A1,Systems and Methods to Predict Potential Attrition of Consumer Payment Account ,Visa U.S.A. Inc.,"Nathan Kona Falkenborg, Guangyu Wang",2010-06-21,2011-06-20,2011-12-22,,https://patents.google.com/patent/US20110313900A1/en,https://patentimages.storage.googleapis.com/c4/92/79/633af6abe1401d/US20110313900A1-20111222-D00000.png
US-2011313835-A1,Systems and Methods to Prevent Potential Attrition of Consumer Payment Account ,Visa U.S.A. Inc.,"Nathan Kona Falkenborg, Guangyu Wang",2010-06-21,2011-06-20,2011-12-22,,https://patents.google.com/patent/US20110313835A1/en,https://patentimages.storage.googleapis.com/74/f4/b2/890e52c95bf9c4/US20110313835A1-20111222-D00000.png
US-2010057622-A1,Distributed Quantum Encrypted Pattern Generation And Scoring ,"Faith Patrick L, Siegel Kevin P","Patrick L. Faith, Kevin P. Siegel",2001-02-27,2009-11-09,2010-03-04,,https://patents.google.com/patent/US20100057622A1/en,https://patentimages.storage.googleapis.com/67/fa/b8/9374e387456d1e/US20100057622A1-20100304-D00001.png
EP-3171540-B1,Key delivery system and method ,Visa U.S.A. Inc.,"Ayman Hammad, Patrick Faith",2008-02-08,2009-02-06,2018-08-01,2018-08-01,https://patents.google.com/patent/EP3171540B1/en,https://patentimages.storage.googleapis.com/eb/c0/d5/733df063fef339/imgf0001.png
US-8160934-B2,Notification of resources of interest to members of a consumer group ,Visa U.S.A. Inc.,"Mark Carlson, May M. Mowzoon",2009-04-22,2009-04-22,2012-04-17,2012-04-17,https://patents.google.com/patent/US8160934B2/en,https://patentimages.storage.googleapis.com/db/30/33/33e681e699f024/US08160934-20120417-D00000.png
US-2013246125-A1,Service Provider Analytics ,"Visa U.S.A, Inc.","Laura DiGioacchino, Jeffrey Rolland Olives, Kevin Akerman, Kevin Considine, Charles Byce, James VonDerheide",2012-03-15,2013-03-15,2013-09-19,,https://patents.google.com/patent/US20130246125A1/en,https://patentimages.storage.googleapis.com/92/85/80/baf6dfe6d0e0a1/US20130246125A1-20130919-D00000.png
US-2012066062-A1,Systems and Methods to Present Triggers for Real-Time Offers ,Visa U.S.A. Inc.,"Jeanette Yoder, Leigh Amaro, Ryan Hagey, Michael James Gebbie, Michael Steven Bankston",2010-08-06,2011-08-08,2012-03-15,,https://patents.google.com/patent/US20120066062A1/en,https://patentimages.storage.googleapis.com/6c/f5/19/48206596c8251d/US20120066062A1-20120315-D00000.png
US-2012005019-A1,Systems and Methods to Optimize Media Presentations ,Visa U.S.A. Inc.,"Diane LeBlanc, Diane C. Salmon",2010-06-29,2011-06-28,2012-01-05,,https://patents.google.com/patent/US20120005019A1/en,https://patentimages.storage.googleapis.com/b8/7d/15/a5f6a75bce9c9d/US20120005019A1-20120105-D00000.png
US-2008208681-A1,Payment using a mobile device ,"Ayman Hammad, Phil Dixon","Ayman Hammad, Phil Dixon",2006-09-28,2008-01-29,2008-08-28,,https://patents.google.com/patent/US20080208681A1/en,https://patentimages.storage.googleapis.com/34/b8/73/bb3ff1c4237e67/US20080208681A1-20080828-D00000.png
US-2010312634-A1,Coupon card point of service terminal processing ,Cervenka Karen L,Karen L. Cervenka,2009-06-08,2009-06-08,2010-12-09,,https://patents.google.com/patent/US20100312634A1/en,https://patentimages.storage.googleapis.com/9d/53/26/6a2503cf81ba1c/US20100312634A1-20101209-D00000.png
US-2010274627-A1,Receiving an announcement triggered by location data ,Mark Carlson,Mark Carlson,2009-04-22,2009-04-22,2010-10-28,,https://patents.google.com/patent/US20100274627A1/en,https://patentimages.storage.googleapis.com/7c/67/68/9ce5455063f1ef/US20100274627A1-20101028-D00000.png
US-2010274625-A1,Targeting merchant announcements triggered by consumer activity relative to a surrogate merchant ,Mark Carlson,Mark Carlson,2009-04-22,2009-04-22,2010-10-28,,https://patents.google.com/patent/US20100274625A1/en,https://patentimages.storage.googleapis.com/b0/71/ff/4d882fff0d1749/US20100274625A1-20101028-D00000.png
US-2010312626-A1,Transaction handler merchant reimbursement for consumer transaction use of sponsor discount coupon card ,Cervenka Karen L,Karen L. Cervenka,2009-06-08,2009-06-08,2010-12-09,,https://patents.google.com/patent/US20100312626A1/en,https://patentimages.storage.googleapis.com/dc/22/2c/78f695cd9a10af/US20100312626A1-20101209-D00000.png
US-2010274566-A1,Location based processing of announcements for delivery to an announcement recipient ,Mark Carlson,Mark Carlson,2009-04-22,2009-04-22,2010-10-28,,https://patents.google.com/patent/US20100274566A1/en,https://patentimages.storage.googleapis.com/00/e4/d3/634721e24a7bfb/US20100274566A1-20101028-D00000.png
US-2011131135-A1,Online warranty history storage access ,"Mark Carlson, Pat Stan, Faith Patrick L, Hammad Ayman A, Ben Rewis","Mark Carlson, Pat Stan, Patrick L. Faith, Ayman A. Hammad, Ben Rewis",2009-08-25,2010-08-23,2011-06-02,,https://patents.google.com/patent/US20110131135A1/en,https://patentimages.storage.googleapis.com/fb/85/e3/4d35df0daae5ad/US20110131135A1-20110602-D00000.png
US-2010274567-A1,Announcing information about payment transactions of any member of a consumer group ,"Mark Carlson, Mowzoon May M","Mark Carlson, May M. Mowzoon",2009-04-22,2009-04-22,2010-10-28,,https://patents.google.com/patent/US20100274567A1/en,https://patentimages.storage.googleapis.com/99/dd/60/ee5d83943664cf/US20100274567A1-20101028-D00000.png
US-2011084149-A1,Powering financial transaction token with onboard and external power source ,"Faith Patrick L, Hammad Ayman A","Patrick L. Faith, Ayman A. Hammad",2007-06-22,2010-12-20,2011-04-14,,https://patents.google.com/patent/US20110084149A1/en,https://patentimages.storage.googleapis.com/42/da/24/7eb71a8dc93ff3/US20110084149A1-20110414-D00000.png
US-2010312631-A1,Coupon card kiosk ,Cervenka Karen L,Karen L. Cervenka,2009-06-08,2009-06-08,2010-12-09,,https://patents.google.com/patent/US20100312631A1/en,https://patentimages.storage.googleapis.com/96/4f/ba/4ee39b9314a20c/US20100312631A1-20101209-D00000.png
US-8620781-B2,Fund on activation ,Visa U.S.A. Inc.,"David Ross Baumgartner, IV",2008-06-10,2009-06-10,2013-12-31,2013-12-31,https://patents.google.com/patent/US8620781B2/en,https://patentimages.storage.googleapis.com/af/b0/54/1ffb1d2558e179/US08620781-20131231-D00000.png
US-8359580-B2,System and method for tracking testing of software modification projects ,Visa U.S.A. Inc.,"Jesus Orlando II Gonzales, Oliver Arao Arce",2007-12-26,2007-12-26,2013-01-22,2013-01-22,https://patents.google.com/patent/US8359580B2/en,https://patentimages.storage.googleapis.com/5c/56/89/7218ec6fc40c3f/US08359580-20130122-D00000.png
US-8694793-B2,Biometric access control transactions ,Visa U.S.A. Inc.,James Douglas Evans,2007-12-11,2007-12-11,2014-04-08,2014-04-08,https://patents.google.com/patent/US8694793B2/en,https://patentimages.storage.googleapis.com/b1/e2/aa/6c573348debabe/US08694793-20140408-D00000.png
US-8473411-B2,Bulk activation of portable consumer payment devices ,Visa U.S.A. Inc.,"David Ross Baumgartner, IV, Keith Robert Larsen",2007-05-30,2008-05-29,2013-06-25,2013-06-25,https://patents.google.com/patent/US8473411B2/en,https://patentimages.storage.googleapis.com/d5/57/ee/d5edf930547837/US08473411-20130625-D00000.png
US-2008059302-A1,Loyalty program service ,"Fordyce Iii Edward W, Karteek Hasmukh Patel, Sarah Pankratz Suarez, David Chauncey Shepard","Edward W. Fordyce III, Karteek Hasmukh Patel, Sarah Pankratz Suarez, David Chauncey Shepard",2006-08-31,2007-06-22,2008-03-06,,https://patents.google.com/patent/US20080059302A1/en,https://patentimages.storage.googleapis.com/9f/3f/9f/15056068b91a16/US20080059302A1-20080306-D00000.png
US-2008203170-A1,Fraud prevention for transit fare collection ,Visa U.S.A. Inc.,"Ayman Hammad, Philip B. Dixon",2007-02-28,2007-02-28,2008-08-28,,https://patents.google.com/patent/US20080203170A1/en,https://patentimages.storage.googleapis.com/8a/a7/49/ce1eec09fad566/US20080203170A1-20080828-D00000.png
US-2009271305-A1,Payment portfolio optimization ,"Raghav Lal, Rentala Cindy Y","Raghav Lal, Cindy Y. RENTALA",2008-04-23,2008-04-23,2009-10-29,,https://patents.google.com/patent/US20090271305A1/en,https://patentimages.storage.googleapis.com/ee/3e/20/9932253a40b1eb/US20090271305A1-20091029-D00000.png
US-2010145786-A1,Loyalty program service ,"Fordyce Iii Edward W, Karteek Hasmukh Patel, David Chauncey Shepard","Edward W. Fordyce III, Karteek Hasmukh Patel, David Chauncey Shepard",2008-12-06,2009-12-03,2010-06-10,,https://patents.google.com/patent/US20100145786A1/en,https://patentimages.storage.googleapis.com/76/25/39/64104f23768f75/US20100145786A1-20100610-D00000.png
US-2009271327-A1,Payment portfolio optimization ,"Raghav Lal, Rentala Cindy Y","Raghav Lal, Cindy Y. RENTALA",2008-04-23,2008-04-23,2009-10-29,,https://patents.google.com/patent/US20090271327A1/en,https://patentimages.storage.googleapis.com/12/68/45/fde9a591dabf71/US20090271327A1-20091029-D00000.png
US-2010169170-A1,Merchant offer program ,"Fordyce Iii Edward W, Karteek Hasmukh Patel, Sarah Pankratz Suarez, David Chauncey Shepard, Yoder Jeanette M, Leigh Amaro","Edward W. Fordyce, III, Karteek Hasmukh Patel, Sarah Pankratz Suarez, David Chauncey Shepard, Jeanette M. Yoder, Leigh Amaro",2007-08-30,2009-10-22,2010-07-01,,https://patents.google.com/patent/US20100169170A1/en,https://patentimages.storage.googleapis.com/39/a2/56/d57492d6ed6816/US20100169170A1-20100701-D00000.png
US-2010312633-A1,Dual range cellular telephone coupon card generation ,Cervenka Karen L,Karen L. Cervenka,2009-06-08,2009-06-08,2010-12-09,,https://patents.google.com/patent/US20100312633A1/en,https://patentimages.storage.googleapis.com/f8/44/b7/388c86d3e9ba02/US20100312633A1-20101209-D00000.png
US-2007156470-A1,Automatically Calculating A Discount Using A Reservation System ,"Granucci Nicole J, James Stretch","Nicole Granucci, James Stretch",2005-06-24,2006-11-29,2007-07-05,,https://patents.google.com/patent/US20070156470A1/en,https://patentimages.storage.googleapis.com/cf/5e/ce/ba65b918c8f7cb/US20070156470A1-20070705-D00000.png
US-8626599-B2,Payment processing system debt conversion notification ,Visa U.S.A. Inc.,"Richard Mitchell Eastley, Nancy Weber, Tamara Romanek, Sharon North",2006-11-14,2011-09-09,2014-01-07,2014-01-07,https://patents.google.com/patent/US8626599B2/en,https://patentimages.storage.googleapis.com/87/2c/b7/0bd802a22d64c9/US08626599-20140107-D00000.png
US-D575816-S,Contactless token with aperture ,Visa U.S.A. Inc.,"Christopher Law, Vlad Guzner, Maorung Lin",2007-10-15,2007-10-15,2008-08-26,2008-08-26,https://patents.google.com/patent/USD575816S1/en,https://patentimages.storage.googleapis.com/48/02/e2/93c95db5abfba4/USD0575816-20080826-D00000.png
US-8165940-B2,Non-credit account credit rating ,Visa U.S.A. Inc.,"Andrew Meimes, Chris Britt",2008-01-31,2008-01-31,2012-04-24,2012-04-24,https://patents.google.com/patent/US8165940B2/en,https://patentimages.storage.googleapis.com/87/d8/5b/a9a3ed4cd79c80/US08165940-20120424-D00000.png
US-D578158-S,Symmetrical communication device with ornamental band with shield ,Visa U.S.A. Inc.,"Ayman Hammad, Christopher Law, Vlad Guzner, Maorung Lin, David Sohn",2007-04-27,2007-04-27,2008-10-07,2008-10-07,https://patents.google.com/patent/USD578158S1/en,https://patentimages.storage.googleapis.com/c0/c5/47/5d46018a63ff91/USD0578158-20081007-D00000.png
EP-2171636-B1,Appliance for financial transaction tokens ,Visa U.S.A. Inc.,"Patrick L. Faith, Ayman A. Hammad",2007-06-22,2007-11-08,2017-08-23,2017-08-23,https://patents.google.com/patent/EP2171636B1/en,https://patentimages.storage.googleapis.com/12/00/3f/1e141289923e94/imgf0001.png
US-D571856-S,Symmetrical contactless data card with off center aperture and shield ,Visa U.S.A. Inc.,"Ayman Hammad, Christopher Law, Vlad Guzner, Maorung Lin, David Sohn",2007-04-27,2007-04-27,2008-06-24,2008-06-24,https://patents.google.com/patent/USD571856S1/en,https://patentimages.storage.googleapis.com/de/b6/c0/a9e8ab632d160f/USD0571856-20080624-D00000.png
US-8959613-B2,System and method for managing access to a plurality of servers in an organization ,Visa U.S.A. Inc.,"Varun Goel, Robert Walsh",2009-06-18,2009-06-18,2015-02-17,2015-02-17,https://patents.google.com/patent/US8959613B2/en,https://patentimages.storage.googleapis.com/85/05/f4/2bb61067932514/US08959613-20150217-D00000.png
US-D590875-S,Symmetrical communication device with ornamental band ,Visa U.S.A. Inc.,"Christopher Law, Vlad Guzner, Maorung Lin, David Sohn",2006-12-11,2008-04-25,2009-04-21,2009-04-21,https://patents.google.com/patent/USD590875S1/en,https://patentimages.storage.googleapis.com/20/4f/99/81b3a64cc4a092/USD0590875-20090421-D00000.png
US-D568388-S,Asymmetrical contactless data card with off-center aperture ,Visa U.S.A. Inc.,Ayman Hammad,2006-07-17,2006-07-17,2008-05-06,2008-05-06,https://patents.google.com/patent/USD568388S1/en,https://patentimages.storage.googleapis.com/a9/0f/c0/05afe43d0d2525/USD0568388-20080506-D00000.png
US-D568389-S,Symmetrical contactless data card with off-center aperture ,Visa U.S.A. Inc.,Ayman Hammad,2006-07-17,2006-07-17,2008-05-06,2008-05-06,https://patents.google.com/patent/USD568389S1/en,https://patentimages.storage.googleapis.com/6e/7d/b6/54f0398e7aafab/USD0568389-20080506-D00000.png
US-D573181-S,Antenna layout for contactless data card ,Visa U.S.A. Inc.,Ayman Hammad,2006-07-17,2006-07-17,2008-07-15,2008-07-15,https://patents.google.com/patent/USD573181S1/en,https://patentimages.storage.googleapis.com/7b/d4/1a/429840ff5e9d18/USD0573181-20080715-D00000.png
US-2014310086-A1,Systems and methods to provide loyalty programs ,Visa U.S.A. Inc.,"Edward W. Fordyce, Leigh Amaro, Michelle Eng Winters, Alfred William Griggs, Laura DiGioacchino, Diane C. Salmon, Kevin Paul Siegel, Kaushik Subramanian, James Alan VonDerheide",2009-10-09,2014-06-24,2014-10-16,,https://patents.google.com/patent/US20140310086A1/en,https://patentimages.storage.googleapis.com/b2/53/80/dc82ccab7434f3/US20140310086A1-20141016-D00000.png
US-D569425-S,Asymmetrical data device with indentation ,Visa U.S.A. Inc.,"Christopher Law, Vlad Guzner, Maorung Lin, David Sohn",2006-12-11,2006-12-11,2008-05-20,2008-05-20,https://patents.google.com/patent/USD569425S1/en,https://patentimages.storage.googleapis.com/e5/f1/e1/a91cb844af7a07/USD0569425-20080520-D00000.png
US-2011313858-A1,Merchant Supplied Offer to a Consumer within a Predetermined Distance ,Visa U.S.A. Inc.,"Jay Allen DeWitt, Dennis Norman Moser",2007-09-13,2011-08-26,2011-12-22,,https://patents.google.com/patent/US20110313858A1/en,https://patentimages.storage.googleapis.com/f0/fa/d3/4fad5498bb5648/US20110313858A1-20111222-D00000.png
US-2011264581-A1,Systems and Methods to Provide Market Analyses and Alerts ,Visa U.S.A. Inc.,Andrew Clyne,2010-04-23,2011-04-25,2011-10-27,,https://patents.google.com/patent/US20110264581A1/en,https://patentimages.storage.googleapis.com/b0/fc/74/069dfdcf25263e/US20110264581A1-20111027-D00000.png
US-2011016043-A1,Account transaction value added tax reimbursement ,Barbara Dornseif,Barbara Dornseif,2009-07-20,2009-07-20,2011-01-20,,https://patents.google.com/patent/US20110016043A1/en,https://patentimages.storage.googleapis.com/a8/ff/4e/47ae16c06fa7cf/US20110016043A1-20110120-D00000.png
US-2011231305-A1,Systems and Methods to Identify Spending Patterns ,Visa U.S.A. Inc.,Michelle Eng Winters,2010-03-19,2011-03-17,2011-09-22,,https://patents.google.com/patent/US20110231305A1/en,https://patentimages.storage.googleapis.com/e6/b4/8d/7b1f6367190104/US20110231305A1-20110922-D00000.png
US-2011231258-A1,Systems and Methods to Distribute Advertisement Opportunities to Merchants ,Visa U.S.A. Inc.,Michelle Eng Winters,2010-03-19,2011-03-17,2011-09-22,,https://patents.google.com/patent/US20110231258A1/en,https://patentimages.storage.googleapis.com/db/aa/0f/289c0e634521e8/US20110231258A1-20110922-D00000.png
US-2011231225-A1,Systems and Methods to Identify Customers Based on Spending Patterns ,Visa U.S.A. Inc.,Michelle Eng Winters,2010-03-19,2011-03-18,2011-09-22,,https://patents.google.com/patent/US20110231225A1/en,https://patentimages.storage.googleapis.com/3e/f0/b7/b5bab773d968e3/US20110231225A1-20110922-D00000.png
US-2011264567-A1,Systems and Methods to Provide Data Services ,Visa U.S.A. Inc.,Andrew Clyne,2010-04-23,2011-04-25,2011-10-27,,https://patents.google.com/patent/US20110264567A1/en,https://patentimages.storage.googleapis.com/c3/62/d3/d85259585fd9f3/US20110264567A1-20111027-D00000.png
US-2011035288-A1,Systems and Methods for Targeting Offers ,Visa U.S.A. Inc.,Andrew Clyne,2009-08-10,2010-08-10,2011-02-10,,https://patents.google.com/patent/US20110035288A1/en,https://patentimages.storage.googleapis.com/5f/07/6c/41a7b97252f070/US20110035288A1-20110210-D00000.png
US-2011047072-A1,Systems and Methods for Propensity Analysis and Validation ,Visa U.S.A. Inc.,Peter Ciurea,2009-08-07,2010-08-05,2011-02-24,,https://patents.google.com/patent/US20110047072A1/en,https://patentimages.storage.googleapis.com/03/14/f5/03600ddc05d5fe/US20110047072A1-20110224-D00000.png
US-2010174623-A1,System and Method for Managing Items of Interest Selected from Online Merchants ,"Michael Mcphie, Carin Watson, Amy Michael, Caleb Watson, Rama Kantipudi, Corey Couch, Craig Kellogg, George William Coombes, Iv, Charles Wilson","Michael Mcphie, Carin Watson, Amy Michael, Caleb Watson, Rama Kantipudi, Corey Couch, Craig Kellogg, George William Coombes, Iv, Charles Wilson",2009-01-07,2010-01-07,2010-07-08,,https://patents.google.com/patent/US20100174623A1/en,https://patentimages.storage.googleapis.com/d0/4b/95/413ecd4f6a966e/US20100174623A1-20100708-D00000.png
US-2010030644-A1,Targeted advertising by payment processor history of cashless acquired merchant transactions on issued consumer account ,Rajasekaran Dhamodharan,Rajasekaran Dhamodharan,2008-08-04,2008-08-04,2010-02-04,,https://patents.google.com/patent/US20100030644A1/en,https://patentimages.storage.googleapis.com/6f/3a/f8/dabb3a3d77e1c6/US20100030644A1-20100204-D00000.png
US-2009222323-A1,Opportunity segmentation ,"Laura Ann Figgie Kelly, Laurie Ann Dornberger","Laura Ann Figgie Kelly, Laurie Ann Dornberger",2008-02-29,2008-10-20,2009-09-03,,https://patents.google.com/patent/US20090222323A1/en,https://patentimages.storage.googleapis.com/41/4c/fb/72919ffe0c3ef0/US20090222323A1-20090903-D00000.png
US-2011264497-A1,Systems and Methods to Transfer Tax Credits ,Visa U.S.A. Inc.,Andrew Clyne,2010-04-23,2011-04-25,2011-10-27,,https://patents.google.com/patent/US20110264497A1/en,https://patentimages.storage.googleapis.com/cc/ff/af/2a528d86a3a853/US20110264497A1-20111027-D00000.png
US-8522202-B2,System and method for managing computer environment setup requests ,Visa U.S.A. Inc.,Jesus Orlando II Gonzales,2008-04-24,2008-04-24,2013-08-27,2013-08-27,https://patents.google.com/patent/US8522202B2/en,https://patentimages.storage.googleapis.com/26/5d/b1/2573abcc0c5721/US08522202-20130827-D00000.png
US-8132719-B2,Prepaid payment device admission ticketing ,Visa U.S.A. Inc.,Brian Andrew Walker,2008-01-25,2008-01-25,2012-03-13,2012-03-13,https://patents.google.com/patent/US8132719B2/en,https://patentimages.storage.googleapis.com/c7/24/fc/6c82e41591b1ff/US08132719-20120313-D00000.png
US-2009132404-A1,Apportioning fraud liability ,"Marie King, Tim Murphy, Van Horn David A, Curtis Yee","Marie King, Tim Murphy, David A. Van Horn, Curtis Yee",2007-11-21,2007-11-21,2009-05-21,,https://patents.google.com/patent/US20090132404A1/en,https://patentimages.storage.googleapis.com/59/b0/d6/190c00d22e2621/US20090132404A1-20090521-D00000.png
US-2011082739-A1,Free sample account transaction payment card dispensing kiosk ,Stacy Pourfallah,Stacy Pourfallah,2009-10-05,2009-10-05,2011-04-07,,https://patents.google.com/patent/US20110082739A1/en,https://patentimages.storage.googleapis.com/f4/82/68/bfbdb8bdfd873c/US20110082739A1-20110407-D00000.png
US-2010312632-A1,Coupon card generation web service ,Cervenka Karen L,Karen L. Cervenka,2009-06-08,2009-06-08,2010-12-09,,https://patents.google.com/patent/US20100312632A1/en,https://patentimages.storage.googleapis.com/fa/ea/d9/0496408106ff7e/US20100312632A1-20101209-D00000.png
